Fiscal Year Released,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Return to Prison,Days to Return,Recidivism Type,Offense,New Offense
2010,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,,Under 25,Male,No,,No Recidivism,Drug-Other Drug,No recidivism
2014,,,White - Non-Hispanic,25-34,Male,Yes,179.0,Tech,Violent-Sex,Other-Other Criminal
2015,8JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,Yes,184.0,New,Property-Theft,Property-Theft
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,243.0,New,Drug-Trafficking,Violent-Assault
2013,3JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,Yes,344.0,New,Violent-Assault,Other-Other Criminal
2010,8JD,Parole,White - Non-Hispanic,55 and Older,Male,Yes,272.0,New,Property-Theft,Property-Theft
2010,5JD,Parole,American Indian or Alaska Native - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,4JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2015,6JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,461.0,New,Drug-Trafficking,Drug-Trafficking
2014,1JD,Parole,White - Non-Hispanic,25-34,Male,Yes,332.0,New,Public Order-OWI,Public Order-OWI
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2014,1JD,Parole,White - Non-Hispanic,55 and Older,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Yes,664.0,New,Public Order-OWI,Public Order-OWI
2013,,Paroled to Detainer - U.S. Marshall,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Sex,No recidivism
2013,7JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,184.0,New,Other-Other Criminal,Other-Other Criminal
2012,1JD,Parole,Black - Non-Hispanic,Under 25,Male,Yes,248.0,New,Property-Burglary,No recidivism
2015,8JD,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Theft,No recidivism
2012,5JD,Parole,Black - Non-Hispanic,25-34,Male,Yes,343.0,Tech,Violent-Sex,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,1JD,Parole,Black - Non-Hispanic,45-54,Male,Yes,272.0,Tech,Other-Other Criminal,No recidivism
2015,4JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2011,1JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,2JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2014,8JD,Parole,White - Non-Hispanic,55 and Older,Male,Yes,479.0,New,Public Order-OWI,Public Order-OWI
2013,5JD,Paroled w/Immediate Discharge,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,5JD,Parole,American Indian or Alaska Native - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,Yes,491.0,New,Drug-Trafficking,Drug-Trafficking
2011,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Public Order-OWI,No recidivism
2015,8JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,644.0,Tech,Drug-Trafficking,Drug-Trafficking
2014,,,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Yes,324.0,New,Violent-Assault,Public Order-OWI
2012,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,2JD,Parole,White - Non-Hispanic,45-54,Male,Yes,422.0,New,Public Order-OWI,Public Order-OWI
2010,6JD,Parole,Black - Non-Hispanic,35-44,Male,Yes,149.0,Tech,Drug-Drug Possession,No recidivism
2013,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2015,,Paroled w/Immediate Discharge,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,3JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,6JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2014,,,Black - Non-Hispanic,25-34,Male,Yes,405.0,New,Property-Burglary,Property-Burglary
2011,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Sex,No recidivism
2011,7JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,1JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2014,4JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2012,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2010,6JD,Parole,American Indian or Alaska Native - Non-Hispanic,35-44,Male,Yes,405.0,New,Drug-Trafficking,Drug-Trafficking
2015,6JD,Parole Granted,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,1JD,Parole,White - Non-Hispanic,45-54,Female,Yes,648.0,New,Public Order-OWI,Public Order-Alcohol
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2012,4JD,Special Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Other-Special Sentence Revocation,No recidivism
2013,1JD,Released to Special Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2014,8JD,Parole,White - Non-Hispanic,25-34,Male,Yes,579.0,New,Drug-Drug Possession,Property-Burglary
2014,,,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Assault,No recidivism
2015,,Released to Special Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,528.0,New,Violent-Assault,Drug-Trafficking
2011,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,639.0,New,Violent-Assault,Violent-Assault
2013,5JD,Parole Granted,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,647.0,New,Drug-Trafficking,Property-Burglary
2014,5JD,Parole,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Kidnap,No recidivism
2013,1JD,Parole Granted,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Yes,866.0,New,Public Order-Sex Offender Registry/Residency,Drug-Trafficking
2013,,Discharged - Expiration of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Female,No,,No Recidivism,Public Order-Alcohol,No recidivism
2011,8JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,7JD,Released to Special Sentence,White - Non-Hispanic,35-44,Male,Yes,791.0,New,Other-Other Criminal,Property-Theft
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Other Violent,No recidivism
2013,6JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2013,5JD,Parole Granted,Black - Non-Hispanic,45-54,Female,Yes,378.0,Tech,Drug-Drug Possession,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2012,2JD,Parole,White - Non-Hispanic,45-54,Male,Yes,238.0,Tech,Drug-Trafficking,No recidivism
2011,Interstate Compact,Parole,White - Non-Hispanic,25-34,Female,Yes,172.0,Tech,Drug-Trafficking,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,Yes,1015.0,Tech,Public Order-OWI,Other-Other Criminal
2012,5JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,2JD,Parole,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Robbery,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,35-44,Female,Yes,361.0,Tech,Drug-Trafficking,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,Yes,494.0,New,Violent-Assault,Public Order-OWI
2015,5JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,354.0,New,Drug-Trafficking,Drug-Trafficking
2012,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Public Order-Alcohol,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Public Order-Alcohol,No recidivism
2014,,,White - Non-Hispanic,Under 25,Male,Yes,520.0,New,Property-Burglary,Violent-Assault
2014,7JD,Parole,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,1JD,Parole,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2014,,,White - Hispanic,35-44,Male,No,,No Recidivism,Property-Forgery/Fraud,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,141.0,Tech,Property-Theft,Property-Theft
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,Interstate Compact,Parole,White - Hispanic,25-34,Male,Yes,477.0,Tech,Drug-Trafficking,No recidivism
2015,5JD,Parole Granted,White - Non-Hispanic,35-44,Female,Yes,592.0,New,Drug-Trafficking,Drug-Trafficking
2013,5JD,Parole Granted,Black - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2010,6JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Drug-Other Drug,No recidivism
2012,5JD,Special Sentence,White - Non-Hispanic,35-44,Male,Yes,788.0,Tech,Drug-Trafficking,No recidivism
2011,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,,,White - Non-Hispanic,45-54,Male,Yes,90.0,Tech,Other-Other Criminal,Violent-Sex
2014,5JD,Parole,White - Non-Hispanic,Under 25,Male,Yes,272.0,New,Violent-Other Violent,Violent-Other Violent
2014,,,White - Non-Hispanic,Under 25,Male,Yes,960.0,Tech,Property-Theft,Property-Theft
2015,5JD,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,6JD,Parole Granted,White - Non-Hispanic,Under 25,Male,Yes,274.0,Tech,Violent-Other Violent,Violent-Other Violent
2014,5JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Violent-Assault,No recidivism
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Female,Yes,93.0,Tech,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,No,,No Recidivism,Other-Other Criminal,No recidivism
2013,,Discharged - Expiration of Sentence,White - Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,1JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,8JD,Parole,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,2JD,Parole,White - Hispanic,Under 25,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2014,,,Black - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-Other Public Order,No recidivism
2012,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2013,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-Traffic,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Yes,382.0,New,Violent-Assault,Violent-Assault
2015,,Discharged - Expiration of Sentence,White - Non-Hispanic,25-34,Male,Yes,230.0,New,Violent-Assault,Property-Burglary
2012,5JD,Parole,White - Non-Hispanic,25-34,Female,No,,No Recidivism,Violent-Assault,No recidivism
2010,5JD,Parole,White - Non-Hispanic,35-44,Female,No,,No Recidivism,Property-Theft,No recidivism
2014,,,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,5JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Kidnap,No recidivism
2015,,Discharged - Expiration of Sentence,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Property-Burglary,No recidivism
2014,,,Asian or Pacific Islander - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Vandalism,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2013,,Discharged - Expiration of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Female,No,,No Recidivism,Violent-Assault,No recidivism
2014,5JD,Parole,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2012,6JD,Parole,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2013,5JD,Parole Granted,White - Non-Hispanic,45-54,Male,Yes,82.0,New,Drug-Drug Possession,Public Order-Traffic
2011,,Discharged – End of Sentence,White - Hispanic,25-34,Male,Yes,629.0,New,Violent-Assault,Property-Burglary
2015,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,Yes,601.0,New,Property-Burglary,Property-Theft
2014,,,White - Non-Hispanic,45-54,Female,No,,No Recidivism,Public Order-OWI,No recidivism
2014,5JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2013,6JD,Parole Granted,White - Non-Hispanic,55 and Older,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2015,1JD,Released to Special Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Sex,No recidivism
2011,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,584.0,New,Violent-Assault,Property-Theft
2012,5JD,Parole,Black - Non-Hispanic,55 and Older,Male,Yes,276.0,New,Property-Burglary,Violent-Robbery
2012,,Discharged – End of Sentence,White - Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2014,2JD,Parole,White - Hispanic,45-54,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2011,5JD,Parole,White - Non-Hispanic,35-44,Male,Yes,170.0,Tech,Property-Theft,No recidivism
2010,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Yes,1023.0,New,Violent-Murder/Manslaughter,Violent-Other Violent
2013,2JD,Parole Granted,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Burglary,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,Interstate Compact,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,5JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Drug-Drug Possession,No recidivism
2012,7JD,Parole,White - Non-Hispanic,25-34,Male,No,,No Recidivism,Property-Theft,No recidivism
2015,,Discharged - Expiration of Sentence,White - Hispanic,45-54,Male,No,,No Recidivism,Violent-Sex,No recidivism
2015,2JD,Parole Granted,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Drug-Trafficking,No recidivism
2011,2JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,No,,No Recidivism,Violent-Assault,No recidivism
2011,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,No,,No Recidivism,Violent-Assault,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,No,,No Recidivism,Property-Theft,No recidivism
2010,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,No,,No Recidivism,Public Order-Weapons,No recidivism
2012,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Yes,1075.0,New,Violent-Assault,Public Order-Alcohol
2013,7JD,Parole Granted,Black - Non-Hispanic,45-54,Male,No,,No Recidivism,Violent-Murder/Manslaughter,No recidivism
2012,8JD,Parole,White - Hispanic,25-34,Male,No,,No Recidivism,Public Order-OWI,No recidivism
